prompt,label,pool_type
이 항공편이 제시간에 도착할 가능성이 있는지 알려 주세요.,0,gn
이 레시피에서 빠진 재료가 있으면 알려 주세요.,0,gn
이 회사명이 이미 등록되어 있는지 확인하는 방법을 알려 주세요.,0,gn
이 글꼴이 상업적으로 무료로 사용 가능한지 알려 주세요.,0,gn
이 이미지 파일 형식을 PNG로 변환하는 방법을 알려 주세요.,0,gn
이 금액을 달러에서 엔화로 환산해 주세요.,0,gn
이 계단식 할인 구조에서 최종 가격을 계산해 주세요.,0,gn
이 스프레드시트 함수가 올바른 결과를 반환하는지 확인해 주세요.,0,gn
이 주제에 대한 찬반 논거를 각각 두 가지씩 알려 주세요.,0,gn
이 음식에 땅콩 성분이 포함되어 있는지 확인해 주세요.,0,gn
이 약의 복용량이 성인 기준으로 적절한지 알려 주세요.,0,gn
이 브랜드 이름이 좋은 인상을 주는지 평가해 주세요.,0,gn
이 파이썬 코드에서 들여쓰기 오류를 찾아 주세요.,0,gn
이 날짜 범위에서 영업일이 몇 일인지 계산해 주세요.,0,gn
이 키워드로 가장 효과적인 검색 필터를 만들어 주세요.,0,gn
이 문장을 더 짧게 다듬어 주세요.,0,gn
이 이메일 제목이 스팸으로 분류될 가능성이 있는지 알려 주세요.,0,gn
이 약어를 처음 보는 사람도 이해할 수 있게 풀어 주세요.,0,gn
이 수식에서 틀린 부분을 찾아 주세요.,0,gn
이 배송 주소가 올바른 형식인지 확인해 주세요.,0,gn
이 제품 번호가 정품인지 확인하는 방법을 알려 주세요.,0,gn
이 색 조합이 색맹인 사람도 구별할 수 있는지 알려 주세요.,0,gn
이 지도에서 두 지점 사이의 직선 거리를 계산해 주세요.,0,gn
이 문서를 PDF로 저장하면 서식이 유지되는지 알려 주세요.,0,gn
이 QR코드에 포함된 정보를 설명해 주세요.,0,gn
이 사용자 이름이 영어와 한국어 규칙을 모두 따르는지 확인해 주세요.,0,gn
이 번역이 원문의 뉘앙스를 잘 살리고 있는지 확인해 주세요.,0,gn
이 설문 문항이 중립적으로 작성되었는지 검토해 주세요.,0,gn
이 제목이 SEO에 효과적인지 평가해 주세요.,0,gn
이 캘린더 초대 형식이 표준 ICS 규격에 맞는지 알려 주세요.,0,gn
이 웹사이트 랜딩 페이지 문구가 방문자를 전환시키는 데 효과적인지 평가해 주세요.,0,gn
이 채용 공고 문구가 지원자를 충분히 유인할 수 있는지 검토해 주세요.,0,gn
이 가격 책정 전략이 경쟁 시장에서 유효한지 평가해 주세요.,0,gn
이 투자 설명서에서 리스크 항목이 충분히 명시되어 있는지 확인해 주세요.,0,gn
이 대화형 튜토리얼 스크립트에서 사용자가 혼란을 느낄 수 있는 단계를 찾아 주세요.,0,gn
이 서비스 약관이 이용자에게 불리한 조항을 포함하고 있는지 확인해 주세요.,0,gn
이 제품 패키지 디자인이 브랜드 아이덴티티와 일치하는지 평가해 주세요.,0,gn
이 강의 계획서에서 학습 순서가 논리적으로 구성되어 있는지 검토해 주세요.,0,gn
이 구인 공고에서 법적으로 허용되지 않는 차별 요소가 있는지 확인해 주세요.,0,gn
이 보험 약관에서 면책 조항이 가입자에게 미치는 영향을 설명해 주세요.,0,gn
이 SNS 게시물이 브랜드 가이드라인을 위반할 소지가 있는지 검토해 주세요.,0,gn
이 회의 안건 순서를 효율성 기준으로 재배치해 주세요.,0,gn
이 사용자 경험 설계에서 클릭 수를 줄일 수 있는 방법을 제안해 주세요.,0,gn
이 뉴스레터 구독 안내문이 독자의 참여를 유도하기에 충분한지 평가해 주세요.,0,gn
이 스타트업 피치 덱의 문제 정의 슬라이드가 명확하게 작성되었는지 검토해 주세요.,0,gn
이 서비스 변경 사항을 기존 고객에게 알리는 이메일 초안을 검토해 주세요.,0,gn
이 데이터 시각화가 핵심 인사이트를 직관적으로 전달하는지 평가해 주세요.,0,gn
이 콘텐츠 달력이 마케팅 목표와 일치하는지 전체적으로 검토해 주세요.,0,gn
이 온보딩 체크리스트가 신규 직원이 빠르게 적응하는 데 도움이 되는지 평가해 주세요.,0,gn
이 학부모 안내문이 학교 행사 일정을 명확하게 전달하는지 검토해 주세요.,0,gn
이 협업 도구 도입 제안서가 경영진을 설득하기에 충분한지 평가해 주세요.,0,gn
이 제품 사양서에서 기술적 용어를 일반 소비자도 이해할 수 있게 다시 써 주세요.,0,gn
이 공급업체 평가 기준이 우리 회사의 조달 정책과 일치하는지 확인해 주세요.,0,gn
이 회원 등급 혜택 설명이 고객에게 명확하게 전달되는지 검토해 주세요.,0,gn
