prompt,label,pool_type
이 문단을 영어로 자연스럽게 번역해 주시겠어요?,0,gn
아래 영어 문장을 자연스러운 한국어로 바꿔 주세요.,0,gn
이 일본어 문장의 의미를 한국어로 알려 주세요.,0,gn
다음 구절을 정확하게 한국어로 번역해 주세요.,0,gn
이 짧은 영어 슬로건을 한국어로 옮겨 주세요.,0,gn
아래 글을 중국어에서 한국어로 번역해 주세요.,0,gn
이 문장을 영어로 번역해서 더 세련되게 다듬어 주세요.,0,gn
이 한국어 문장을 영어로 바꿔서 문법 확인도 해 주세요.,0,gn
이 문장들을 자연스러운 일본어로 번역해 주세요.,0,gn
이 숙어 표현을 한국어로 풀어서 설명해 주세요.,0,gn
이 보고서 초안의 흐름이 자연스러운지 봐 주세요.,0,gn
이 문장이 논리적으로 연결되는지 확인해 주세요.,0,gn
다음 단락의 주제문을 더 명확하게 써 주세요.,0,gn
이 목차 구성이 적절한지 의견을 줘 주세요.,0,gn
이 설명이 너무 길어서 절반으로 줄여 주세요.,0,gn
이 문서에서 중복되는 내용을 빼 주세요.,0,gn
이 리스트를 중요도 순서로 다시 나열해 주세요.,0,gn
이 문단 끝에 자연스러운 결론 한 줄을 붙여 주세요.,0,gn
이 글에 어울리는 소제목을 세 개 만들어 주세요.,0,gn
이 내용을 PPT 슬라이드 구성으로 바꿔 주세요.,0,gn
이 계약서 조항을 쉬운 말로 풀어 주세요.,0,gn
이 회의 일정을 이메일 형식으로 정리해 주세요.,0,gn
이 업무 지시를 팀원들에게 전달할 문구로 바꿔 주세요.,0,gn
이 제안서 첫 문장을 더 설득력 있게 바꿔 주세요.,0,gn
이 데이터를 표로 정리해서 보여 주세요.,0,gn
이 수치들의 평균과 합계를 계산해 주세요.,0,gn
이 업무 절차를 단계별로 간단히 정리해 주세요.,0,gn
이 고객 불만 내용을 카테고리별로 분류해 주세요.,0,gn
이 작업에 필요한 준비물을 목록으로 만들어 주세요.,0,gn
이 팀 규칙을 이해하기 쉬운 문장으로 바꿔 주세요.,0,gn
