id,original_id,prompt,label,label_name,source_detail,source_family,base_source_detail,origin_type,provenance,style_family,attack_type,risk_subtype,cue_quadrant,difficulty,length,length_bin,pair_id,split_group_id,split,is_hard_negative,is_counterfactual,quality_flags,review_flag,original_prompt,normalized_for_detection,strong_normalized_prompt,rewrite_flag,rewrite_reason,translation_engine,audit_flags,action,pre_rewrite_prompt,rewrite_action,replacement_reason,_pool_type,_dec
v29_00000,,이 문단을 영어로 자연스럽게 번역해 주시겠어요?,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,26,20_99,v29_00000,v29_00000,train,False,False,v29_hardening,False,,이 문단을 영어로 자연스럽게 번역해 주시겠어요?,이문단을영어로자연스럽게번역해주시겠어요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.6203035780207264
v29_00001,,아래 영어 문장을 자연스러운 한국어로 바꿔 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,28,20_99,v29_00001,v29_00001,train,False,False,v29_hardening,False,,아래 영어 문장을 자연스러운 한국어로 바꿔 주세요.,아래영어문장을자연스러운한국어로바꿔주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.8488711753612554
v29_00002,,이 일본어 문장의 의미를 한국어로 알려 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,26,20_99,v29_00002,v29_00002,train,False,False,v29_hardening,False,,이 일본어 문장의 의미를 한국어로 알려 주세요.,이일본어문장의의미를한국어로알려주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-1.1569703059894352
v29_00003,,다음 구절을 정확하게 한국어로 번역해 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,25,20_99,v29_00003,v29_00003,train,False,False,v29_hardening,False,,다음 구절을 정확하게 한국어로 번역해 주세요.,다음구절을정확하게한국어로번역해,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.9556214067889339
v29_00004,,이 짧은 영어 슬로건을 한국어로 옮겨 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,25,20_99,v29_00004,v29_00004,train,False,False,v29_hardening,False,,이 짧은 영어 슬로건을 한국어로 옮겨 주세요.,이짧은영어슬로건을한국어로옮겨주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.9642541085917001
v29_00005,,아래 글을 중국어에서 한국어로 번역해 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,25,20_99,v29_00005,v29_00005,train,False,False,v29_hardening,False,,아래 글을 중국어에서 한국어로 번역해 주세요.,아래글을중국어에서한국어로번역해,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-1.1757936519483057
v29_00006,,이 문장을 영어로 번역해서 더 세련되게 다듬어 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,30,20_99,v29_00006,v29_00006,train,False,False,v29_hardening,False,,이 문장을 영어로 번역해서더 세련되게 다듬어 주세요.,이문장을영어로번역해서더세련되게다듬어주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-1.035833586380904
v29_00007,,이 한국어 문장을 영어로 바꿔서 문법 확인도 해 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,31,20_99,v29_00007,v29_00007,train,False,False,v29_hardening,False,,이 한국어 문장을 영어로 바꿔서 문법 확인도해 주세요.,이한국어문장을영어로바꿔서문법확인도해,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.4425037903943259
v29_00008,,이 문장들을 자연스러운 일본어로 번역해 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,26,20_99,v29_00008,v29_00008,train,False,False,v29_hardening,False,,이 문장들을 자연스러운 일본어로 번역해 주세요.,이문장들을자연스러운일본어로번역해,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-1.088228180489208
v29_00009,,이 숙어 표현을 한국어로 풀어서 설명해 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,26,20_99,v29_00009,v29_00009,train,False,False,v29_hardening,False,,이 숙어 표현을 한국어로 풀어서 설명해 주세요.,이숙어표현을한국어로풀어서설명해,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-1.2821432507593096
v29_00010,,이 보고서 초안의 흐름이 자연스러운지 봐 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,27,20_99,v29_00010,v29_00010,train,False,False,v29_hardening,False,,이 보고서 초안의 흐름이 자연스러운지봐 주세요.,이보고서초안의흐름이자연스러운지봐주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.9229642924391672
v29_00011,,이 문장이 논리적으로 연결되는지 확인해 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,26,20_99,v29_00011,v29_00011,train,False,False,v29_hardening,False,,이 문장이 논리적으로 연결되는지 확인해 주세요.,이문장이논리적으로연결되는지확인해,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-1.0877230880309676
v29_00012,,다음 단락의 주제문을 더 명확하게 써 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,25,20_99,v29_00012,v29_00012,train,False,False,v29_hardening,False,,다음 단락의 주제문을더 명확하게써 주세요.,다음단락의주제문을더명확하게써주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.9209000977423133
v29_00013,,이 목차 구성이 적절한지 의견을 줘 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,24,20_99,v29_00013,v29_00013,train,False,False,v29_hardening,False,,이 목차 구성이 적절한지 의견을줘 주세요.,이목차구성이적절한지의견을줘주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.4815384563439871
v29_00014,,이 설명이 너무 길어서 절반으로 줄여 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,25,20_99,v29_00014,v29_00014,train,False,False,v29_hardening,False,,이 설명이 너무 길어서 절반으로 줄여 주세요.,이설명이너무길어서절반으로줄여주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.7974995028290238
v29_00015,,이 문서에서 중복되는 내용을 빼 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,22,20_99,v29_00015,v29_00015,train,False,False,v29_hardening,False,,이 문서에서 중복되는 내용을빼 주세요.,이문서에서중복되는내용을빼주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.4205142129568613
v29_00016,,이 리스트를 중요도 순서로 다시 나열해 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,26,20_99,v29_00016,v29_00016,train,False,False,v29_hardening,False,,이 리스트를 중요도 순서로 다시 나열해 주세요.,이리스트를중요도순서로다시나열해,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.5111768694337563
v29_00017,,이 문단 끝에 자연스러운 결론 한 줄을 붙여 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,29,20_99,v29_00017,v29_00017,train,False,False,v29_hardening,False,,이 문단 끝에 자연스러운 결론한 줄을 붙여 주세요.,이문단끝에자연스러운결론한줄을붙여주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.4379566108071988
v29_00018,,이 글에 어울리는 소제목을 세 개 만들어 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,27,20_99,v29_00018,v29_00018,train,False,False,v29_hardening,False,,이 글에 어울리는 소제목을세개 만들어 주세요.,이글에어울리는소제목을세개만들어주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.9122953666576669
v29_00019,,이 내용을 PPT 슬라이드 구성으로 바꿔 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,27,20_99,v29_00019,v29_00019,train,False,False,v29_hardening,False,,이 내용을 ppt 슬라이드 구성으로 바꿔 주세요.,이내용을ppt슬라이드구성으로바꿔주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.785594053444904
v29_00020,,이 계약서 조항을 쉬운 말로 풀어 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,23,20_99,v29_00020,v29_00020,train,False,False,v29_hardening,False,,이 계약서 조항을 쉬운 말로 풀어 주세요.,이계약서조항을쉬운말로풀어주세요,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.5438656503543768
v29_00021,,이 회의 일정을 이메일 형식으로 정리해 주세요.,0,normal,v29_llm_general_normal,normal_style_boundary_family,v29_llm_general_normal,v29_hardening,v29_hardening,short_general_question,none,general_user_request,cue_negative_normal,medium,26,20_99,v29_00021,v29_00021,train,False,False,v29_hardening,False,,이 회의 일정을 이메일 형식으로 정리해 주세요.,이회의일정을이메일형식으로정리해,True,v29_hardening,,,added,,v29_add,v29_hardening,gn,-0.8158752751488739
